,Size,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,inlet,InhalationProfile
62,2.1097e-05,0.9863081624841118,0.013279938200855403,0.00041189931503287334,PT010,large,15,,"0,4",0,nondfp,7.749585101410031e-05,trapezoid
63,2.143e-05,0.9873187302108872,0.01226998536351998,0.0004112844255928433,PT010,large,15,,"0,4",0,nondfp,9.686793660389106e-05,trapezoid
64,2.1762e-05,0.9862015456702977,0.013387695490780643,0.00041075883892164065,PT010,large,15,,"0,4",0,nondfp,0.0001549526748705,trapezoid
65,2.2094e-05,0.9874580986477551,0.012085832212163323,0.00045606914008157484,PT010,large,15,,"0,4",0,nondfp,0.0001356177388002,trapezoid
66,2.2426e-05,0.9893484376187942,0.010286626625104534,0.00036493575610124524,PT010,large,15,,"0,4",0,nondfp,0.000232442518902,trapezoid
67,2.2758e-05,0.9889608410787751,0.010696327898826645,0.00034283102239828167,PT010,large,15,,"0,4",0,nondfp,0.0002323975030179,trapezoid
68,2.3091e-05,0.9907997813481593,0.008881399193608672,0.0003188194582321038,PT010,large,15,,"0,4",0,nondfp,0.000135562585183,trapezoid
69,2.3423e-05,0.9904265308771101,0.009069602326948452,0.0005038667959414754,PT010,large,15,,"0,4",0,nondfp,0.0001742677527204,trapezoid
70,2.3755e-05,0.9912481957000685,0.00838714578743444,0.00036465851249714955,PT010,large,15,,"0,4",0,nondfp,0.0001742643784247,trapezoid
71,2.4087e-05,0.9927537332705426,0.007086757713400184,0.0001595090160572037,PT010,large,15,,"0,4",0,nondfp,0.0002323705018555,trapezoid
72,2.4419e-05,0.9927489416282181,0.007091443879321256,0.0001596144924606006,PT010,large,15,,"0,4",0,nondfp,0.0002323075225918,trapezoid
73,2.4752e-05,0.9942877949978381,0.00564393163560221,6.827336655970505e-05,PT010,large,15,,"0,4",0,nondfp,0.0002323345100637,trapezoid
74,2.5084e-05,0.9956699161302991,0.004126048504112878,0.0002040353655879982,PT010,large,15,,"0,4",0,nondfp,0.0001935783600308,trapezoid
75,2.5416e-05,0.9967849299346369,0.003101863372920739,0.00011320669244236493,PT010,large,15,,"0,4",0,nondfp,0.0001355048517867,trapezoid
76,2.5748e-05,0.9976696481117749,0.002307727112611269,2.262477561383597e-05,PT010,large,15,,"0,4",0,nondfp,0.0001548536953394,trapezoid
77,2.6081e-05,0.998488960389713,0.0014659339502784887,4.5105660008570084e-05,PT010,large,15,,"0,4",0,nondfp,3.871267452818872e-05,trapezoid
0,5e-07,0.024622309698658043,0.9753776903013419,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
1,8.3221e-07,0.026842020121995547,0.9731579798780045,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
2,1.1644e-06,0.03053440258857782,0.9694655974114221,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
3,1.4966e-06,0.034453295298581724,0.9655467047014182,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
4,1.8289e-06,0.036495074118681234,0.9635049258813188,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
5,2.1611e-06,0.04300981310696875,0.9569901868930313,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
6,2.4933e-06,0.049233230918173165,0.9507667690818269,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
7,2.8255e-06,0.05982264358213235,0.9401773564178676,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
8,3.1577e-06,0.07236387788827374,0.9275958938836275,4.022822809875386e-05,PT010,large,30,,"0,4",0,dfp,,trapezoid
9,3.4899e-06,0.08538891821991132,0.9146110817800888,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
10,3.8221e-06,0.10309471167012894,0.896905288329871,0.0,PT010,large,30,,"0,4",0,dfp,,trapezoid
11,4.1544e-06,0.12578809804115154,0.8741717866943569,4.011526449160989e-05,PT010,large,30,,"0,4",0,dfp,,trapezoid
12,4.4866e-06,0.1489824806878998,0.8509974894007413,2.0029911358954e-05,PT010,large,30,,"0,4",0,dfp,,trapezoid
13,4.8188e-06,0.18282946633786268,0.8171505741135238,1.995954861355246e-05,PT010,large,30,,"0,4",0,dfp,,trapezoid
14,5.151e-06,0.2183964585286346,0.7815038352723228,9.97061990424963e-05,PT010,large,30,,"0,4",0,dfp,,trapezoid
15,5.4832e-06,0.25934314071948783,0.7404974596855982,0.00015939959491391434,PT010,large,30,,"0,4",0,dfp,,trapezoid
16,5.8154e-06,0.3005891563387383,0.6990923807754572,0.00031846288580446113,PT010,large,30,,"0,4",0,dfp,,trapezoid
17,6.1477e-06,0.34959053313210736,0.650051680373915,0.00035778649397768213,PT010,large,30,,"0,4",0,dfp,,trapezoid
18,6.4799e-06,0.40127165174744844,0.5979145440148447,0.0008138042377069075,PT010,large,30,,"0,4",0,dfp,,trapezoid
19,6.8121e-06,0.4473556874823583,0.5516699701973546,0.0009743423202870716,PT010,large,30,,"0,4",0,dfp,,trapezoid
20,7.1443e-06,0.5017814762195245,0.49677086745759264,0.0014476563228828898,PT010,large,30,,"0,4",0,dfp,,trapezoid
21,7.4765e-06,0.5492043923726633,0.4487875355718706,0.0020080720554661105,PT010,large,30,,"0,4",0,dfp,,trapezoid
22,7.8087e-06,0.5936186460373851,0.40369202164746504,0.0026893323151498797,PT010,large,30,,"0,4",0,dfp,,trapezoid
23,8.1409e-06,0.6388436832702338,0.3582469263050772,0.0029093904246890604,PT010,large,30,,"0,4",0,dfp,,trapezoid
24,8.4732e-06,0.6764991683413056,0.3199467551227576,0.003554076535936696,PT010,large,30,,"0,4",0,dfp,,trapezoid
25,8.8054e-06,0.7118813081459558,0.28408330358405165,0.004035388269992526,PT010,large,30,,"0,4",0,dfp,,trapezoid
26,9.1376e-06,0.7417793603888019,0.25375776627467866,0.004462873336519452,PT010,large,30,,"0,4",0,dfp,,trapezoid
27,9.4698e-06,0.7714963217614691,0.22375441250820288,0.004749265730328054,PT010,large,30,,"0,4",0,dfp,,trapezoid
