,Size,nozzle,inlet,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,InhalationProfile
36,1.246e-05,0.0002671279924695,0.0025377159284605,0.7253625883227965,0.2746374116772034,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
37,1.2792e-05,0.0002477401646812,0.002020035188939,0.7558755963951229,0.244124403604877,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
38,1.3124e-05,0.000190504010327,0.0017526368950091,0.7713284963722794,0.2285881077474771,8.339588024351601e-05,PT010,large,15,,"0,4",0,nondfp,trapezoid
39,1.3456e-05,0.0001269203912907,0.0018847689102606,0.7846836847946727,0.2153163152053273,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
40,1.3789e-05,0.0002858758280727,0.0017533717455131,0.8098613016308489,0.190138698369151,0.0,PT010,large,15,,"0,4",0,nondfp,trapezoid
41,1.4121e-05,0.0002475326074146,0.0014661546746868,0.8197286395306197,0.17997799779978,0.0002933626696002935,PT010,large,15,,"0,4",0,nondfp,trapezoid
42,1.4453e-05,0.0002664416714774,0.0013512399053497,0.8359266462906365,0.16393442622950796,0.00013892747985551555,PT010,large,15,,"0,4",0,nondfp,trapezoid
43,1.4785e-05,0.0002473677530535,0.0013700367861428,0.8491672218520986,0.15069953364423708,0.00013324450366422388,PT010,large,15,,"0,4",0,nondfp,trapezoid
44,1.5117e-05,0.0002661428297398,0.0008934794998408,0.8586360739324411,0.14123645634161885,0.00012746972594008925,PT010,large,15,,"0,4",0,nondfp,trapezoid
45,1.545e-05,0.0003228358922588,0.0010064883699836,0.8721469547174416,0.1277920175759795,6.102770657878677e-05,PT010,large,15,,"0,4",0,nondfp,trapezoid
46,1.5782e-05,0.0002657286021671,0.0006453408909772,0.8832095444178023,0.11667348967775884,0.00011696590443885609,PT010,large,15,,"0,4",0,nondfp,trapezoid
47,1.6114e-05,0.0001327987653914,0.0009295913577403,0.890094902540206,0.10962095811786082,0.00028413934193328435,PT010,large,15,,"0,4",0,nondfp,trapezoid
48,1.6446e-05,0.0002276852630713,0.0009676623680532,0.9011205247335341,0.09844219732167246,0.00043727794479337615,PT010,large,15,,"0,4",0,nondfp,trapezoid
49,1.6779e-05,0.0001325924989616,0.0006440207092423,0.911695531323498,0.08776993799444074,0.0005345306820611221,PT010,large,15,,"0,4",0,nondfp,trapezoid
50,1.7111e-05,0.0002653106348554,0.0007390796256686,0.9159095601899652,0.0837290935370636,0.00036134627297127494,PT010,large,15,,"0,4",0,nondfp,trapezoid
51,1.7443e-05,0.0002273703360906,0.0007010585362793,0.9209958339607491,0.07870300657531475,0.0003011594639361493,PT010,large,15,,"0,4",0,nondfp,trapezoid
52,1.7775e-05,0.0002270992485935,0.0003406488728902,0.9247084297032628,0.07465183800009823,0.0006397322966388839,PT010,large,15,,"0,4",0,nondfp,trapezoid
53,1.8107e-05,0.0002270305042258,0.0006621723039921,0.9355008367200577,0.0637819746593352,0.0007171886206070673,PT010,large,15,,"0,4",0,nondfp,trapezoid
54,1.844e-05,0.0001324219337897,0.0004729354778206,0.9355600751728657,0.06411138915795025,0.0003285356691840564,PT010,large,15,,"0,4",0,nondfp,trapezoid
55,1.8772e-05,0.0001700862401761,0.000529157191659,0.9434568921960408,0.055670387212346566,0.0008727205916126665,PT010,large,15,,"0,4",0,nondfp,trapezoid
56,1.9104e-05,0.0002267302351066,0.0004534604702133,0.9447883028345895,0.05440437746681017,0.0008073196986004407,PT010,large,15,,"0,4",0,nondfp,trapezoid
57,1.9436e-05,0.0002077693129437,0.0003022099097363,0.9501695799634753,0.04930863553352456,0.0005217845030001089,PT010,large,15,,"0,4",0,nondfp,trapezoid
58,1.9768e-05,0.0002833003861457,0.0003021870785554,0.9536598883062628,0.04565801253357191,0.0006820991601652781,PT010,large,15,,"0,4",0,nondfp,trapezoid
59,2.0101e-05,0.000207612456637,0.0003774771938854,0.9581364411320955,0.04132311570476388,0.0005404431631406662,PT010,large,15,,"0,4",0,nondfp,trapezoid
60,2.0433e-05,0.0001884860175734,0.000433517840419,0.9597820340775084,0.03964865194583375,0.0005693139766579486,PT010,large,15,,"0,4",0,nondfp,trapezoid
61,2.0765e-05,7.540862039012964e-05,0.0002262258611703,0.9633482377842423,0.036178327181754594,0.0004734350340031462,PT010,large,15,,"0,4",0,nondfp,trapezoid
